query_id,query_time_range,refer_id,refer_time_range
0062ef96-b927-11e9-8b81-fa163ee49799,1000|88000,2718954900,1010000|1141000
00b1b1ca-b856-11e9-9336-fa163ee49799,1000|64000,3009055500,103000|4941000
00cc3f42-b994-11e9-9c9e-fa163e3d9e3c,49000|152000,2384098000,2758000|3771000
00ee9f6a-b967-11e9-b8ed-fa163e063a2b,30000|65000,1601278800,1298000|5210000
016cf7e8-b8d6-11e9-930e-fa163ee49799,1000|82000,1293733400,556000|637000
01dad046-b92c-11e9-8b81-fa163ee49799,10000|95000,2718954900,1419000|6661000
0208fbca-b912-11e9-ad99-fa163ee49799,10000|87000,2400411900,2356000|2433000
023bb128-b90d-11e9-ad99-fa163ee49799,23000|82000,2367850000,4631000|6706000
02437362-b94a-11e9-8b81-fa163ee49799,6000|72000,1396771700,58000|966000
025ddc72-b943-11e9-8b81-fa163ee49799,16000|149000,1396771700,61000|964000
026df24a-b972-11e9-9c9e-fa163e3d9e3c,30000|126000,2791972500,2190000|7276000
029b4b30-b95b-11e9-9c9e-fa163e3d9e3c,41000|95000,2909399800,1415000|1586000
02a8abb4-b937-11e9-8b81-fa163ee49799,22000|84000,2927857700,3573000|4807000
02be4b9a-b950-11e9-9c9e-fa163e3d9e3c,49000|92000,1818601700,1612000|3373000
03031510-b8d1-11e9-930e-fa163ee49799,1000|64000,1260706600,438000|513000
0320095e-b98f-11e9-8b81-fa163ee49799,1000|100000,1596046700,2329000|4770000
0367233c-b874-11e9-b45b-fa163ee49799,1000|94000,2801578300,1385000|1477000
03780ab0-b975-11e9-9c9e-fa163e3d9e3c,13000|138000,2791972500,303000|5905000
039f4412-b94e-11e9-8b81-fa163ee49799,8000|34000,1887729500,2505000|2529000
03a82f80-b973-11e9-8b81-fa163ee49799,3000|169000,1396771700,49000|952000
03b98950-b929-11e9-b8ed-fa163e063a2b,24000|75000,1598981800,576000|6010000
03ceea4a-b9a4-11e9-8b81-fa163ee49799,38000|136000,1396771700,58000|943000
03e3f42e-b960-11e9-8b81-fa163ee49799,19000|89000,1421444400,51000|3754000
03fcf6a8-b902-11e9-8127-fa163e063a2b,16000|125000,1189765500,196000|968000
041134d8-b989-11e9-b8ed-fa163e063a2b,54000|132000,1601278800,4056000|4137000
041264d8-b944-11e9-9c9e-fa163e3d9e3c,62000|119000,1661703600,2057000|2661000
043269d2-b961-11e9-8b81-fa163ee49799,41000|122000,1421444400,3331000|4616000
04c2abf0-b957-11e9-8b81-fa163ee49799,19000|122000,2959479600,454000|1778000
04c62b92-b991-11e9-9c9e-fa163e3d9e3c,7000|142000,1396771700,590000|984000
04ef6fd4-b982-11e9-b8ed-fa163e063a2b,1000|174000,1396771700,84000|890000
0525a1a0-b93f-11e9-9c9e-fa163e3d9e3c,24000|97000,1627286600,1653000|3293000
056adad6-b872-11e9-b45b-fa163ee49799,2000|57000,2801578300,215000|281000
